ଅଁ,1
ଧ୍ରୁ,2
ସ୍ଵେ,4
ଚ୍ୟା,1
ର୍ଯା,55
ଷ୍ଟି,31
ୗ,1
ର୍ଭ,8
ହ୍ନ,13
ମ୍ବ୍ରି,1
ହ୍ମ,28
ଡଟ୍,1
ଜାୟ,1
ସ୍ଥା,131
ସ୍ଥି,51
ସ୍ପ୍ବ,1
ଯି,13
ଯା,734
ଯ଼,1
ନୀୟ,15
ର୍ଭା,2
ଟ୍ରା,1
ଟ୍ରି,6
ହିଂ,3
ହିଁ,48
ସ୍କି,1
ଦ୍ମି,1
ତ୍ସା,13
ଆ,2397
ଶ୍ରୟ,1
ସ୍ତ୍ରୀୟ,11
ଲାୟା,1
ତ୍ତୁ,1
ଠିକ୍,1
ଥି,1094
ଥା,243
କ୍ଳି,1
ଟିୟୁ,1
ଖ,393
ତ୍ତୋ,1
ଡ଼ା,32
ଡ଼ି,1080
ଠୀ,4
ଠୁ,13
ଠେ,2
ଲ୍ଲୋ,4
ଦ,1111
ନ୍ମି,26
ବାୟା,4
ଲା,746
ଲି,432
ଲ୍ଲୀ,23
ର୍ତ୍ତୃ,1
ଇୟ,1
ଡ୍ରିଂ,1
ଦ୍ଧି,28
ଶ,962
ର୍ଯ୍ଯା,1
ମ୍ମୁ,1
ତୀୟାଂ,1
ଶ୍ଚି,15
ଠୁଁ,1
ନ୍ମୟ,1
ଲୟ,4
ତ୍ସୁ,1
ଦ୍ଧେ,1
କ୍ରେ,1
ଫ୍ଲୋ,1
ରେନ୍,1
ଅୟୁ,1
ଲ୍ଲି,6
ଲେ,1169
ଲୀ,23
ଲୁ,82
ବାୟୁ,9
ୖ,1
ଲୌ,5
ଡ଼େ,7
ଠା,287
ଠି,50
ଡ଼ୀ,7
ଲୋ,342
ଥକ୍,1
ଥେୟ,1
ମ୍ଠା,1
ଥୋ,2
ଗ୍ରୋ,1
ଥେ,4
ଥୁ,4
ଥୀ,63
ତ୍ତି,55
ତ୍ତା,2
ର୍ଡ୍ସ,1
ଯ୍ୟା,3
ଶ୍ଳୋ,1
ଣ୍ଢେ,1
ଷ୍ଣୁ,2
ଓଁ,2
ମେୟ,6
ଖ୍ଯା,1
ନ୍ଵେ,1
ଁ,1
କାଂ,7
ଗ୍ନି,1
ଳୟ,143
ଫୋ,1
ହ୍ର,6
ର୍ବି,2
ର୍ବା,49
ପା,1553
